id,partner_name
0,Centre on African Philanthropy and Social Investments
1,Community Based Natural Resources Management (CBNRM) organisations and CBOs
2,Ford Foundation
3,Foreign and Commonwealth Development Office
4,Graca Machel Trust
5,Mandela Institute for Development Studies
6,Mott Foundation
7,Namibian Association of CBNRM Support Organisations (NACSO)
8,Resource Africa
9,SADC Council of NGOs
10,SADC Secretariat
11,Southern Africa People's Solidarity Network
12,Southern Africa Rural Women's Assembly
13,Southern Africa Trust
14,Southern African Trust (SAT)
